Field Code (Riverhead/Uplands),Taxa,PHOTOPERIOD,Type,Origin,Race,Riverhead # Panicles 2019
BAP290,PI 569458,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum,
BAP291,PI 569459,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum,
BAP292,PI 569460,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum,
BAP293,PI 569462,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP294,PI 569465,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum,
BAP295,PI 569886,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP296,PI 570031,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP297,PI 570038,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Kafir-caudatum,
BAP298,PI 570039,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP299,PI 570042,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP300,PI 570047,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP301,PI 570053,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum,
BAP302,PI 570071,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP303,PI 570073,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP304,PI 570074,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP305,PI 570075,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP306,PI 570076,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea,
BAP307,PI 570085,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP308,PI 570087,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP309,PI 570090,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP310,PI 570091,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP311,PI 570096,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP312,PI 570106,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP313,PI 570109,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP314,PI 570110,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP315,PI 570114,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea,
BAP316,PI 570145,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP317,PI 570254,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum,
BAP318,PI 570371,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP319,PI 570373,PHOTOPERIOD_SENSITIVE,Cellulosic,Sudan,Guinea-caudatum,
BAP320,PI 570388,PHOTOPERIOD_SENSITIVE,Sweet,Sudan,Guinea,
BAP321,PI 570393,PHOTOPERIOD_SENSITIVE,Cellulosic,Sudan,Caudatum,
BAP322,PI 570400,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum,
BAP323,PI 570431,PHOTOPERIOD_SENSITIVE,Sweet,NA,Durra,
BAP324,PI 573193,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum,
BAP325,PI 576399,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA,
BAP326,PI 576401,PHOTOPERIOD_INSENSITIVE,GRAIN,India,NA,
BAP327,PI 583832,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP328,PI 585406,PHOTOPERIOD_INSENSITIVE,Cellulosic,Nigeria,Guinea,
BAP329,PI 585448,PHOTOPERIOD_SENSITIVE,Cellulosic,Ghana,Guinea,
BAP330,PI 585452,PHOTOPERIOD_SENSITIVE,Cellulosic,Ghana,Guinea,
BAP331,PI 585454,PHOTOPERIOD_SENSITIVE,Cellulosic,Ghana,Guinea,
BAP332,PI 585461,PHOTOPERIOD_SENSITIVE,Cellulosic,Ghana,Guinea,
BAP333,PI 585467,PHOTOPERIOD_SENSITIVE,Cellulosic,Ghana,Guinea,
BAP334,PI 585577,PHOTOPERIOD_SENSITIVE,Cellulosic,Burundi,Durra-caudatum,
BAP335,PI 585608,PHOTOPERIOD_SENSITIVE,Cellulosic,Rwanda,Caudatum,
BAP336,PI 585954,PHOTOPERIOD_SENSITIVE,Cellulosic,Togo,Guinea,
BAP337,PI 585961,PHOTOPERIOD_SENSITIVE,Cellulosic,Togo,Guinea,
BAP338,PI 585966,PHOTOPERIOD_SENSITIVE,Cellulosic,Togo,Guinea,
BAP339,PI 586435,PHOTOPERIOD_INSENSITIVE,Sweet,Hungary,Guinea-kafir,
BAP340,PI 586443,PHOTOPERIOD_INSENSITIVE,Sweet,Hungary,Guinea-caudatum,
BAP341,PI 586499,PHOTOPERIOD_INSENSITIVE,Sweet,South Africa,Kafir-caudatum,
BAP342,PI 586541,PHOTOPERIOD_INSENSITIVE,Sweet,Australia,Caudatum-bicolor,
BAP343,PI 593916,PHOTOPERIOD_INSENSITIVE,GRAIN,NA,NA,
BAP344,PI 619807,PHOTOPERIOD_SENSITIVE,Sweet,Uganda,NA,
BAP345,PI 619838,PHOTOPERIOD_SENSITIVE,Cellulosic,Uganda,NA,
BAP346,PI 620072,PHOTOPERIOD_SENSITIVE,Cellulosic,Uganda,NA,
BAP347,PI 620157,PHOTOPERIOD_SENSITIVE,Cellulosic,Uganda,NA,
BAP348,PI 63715,PHOTOPERIOD_INSENSITIVE,Sweet,China,Kafir,
BAP349,PI 641807,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP350,PI 641810,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP351,PI 641815,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP352,PI 641817,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP353,PI 641821,PHOTOPERIOD_INSENSITIVE,Cellulosic,NA,NA,
BAP354,PI 641824,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP355,PI 641829,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP356,PI 641830,PHOTOPERIOD_INSENSITIVE,Cellulosic,NA,NA,
BAP357,PI 641834,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP358,PI 641835,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP359,PI 641836,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP360,PI 641850,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP361,PI 641860,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP362,PI 641862,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP363,PI 641892,PHOTOPERIOD_INSENSITIVE,Cellulosic,NA,NA,
BAP364,PI 641909,PHOTOPERIOD_INSENSITIVE,Cellulosic,Sudan,NA,
BAP365,PI 642998,PHOTOPERIOD_INSENSITIVE,Cellulosic,NA,NA,
BAP366,PI 643008,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP367,PI 643016,PHOTOPERIOD_SENSITIVE,Sweet,NA,NA,
BAP368,PI 646242,PHOTOPERIOD_SENSITIVE,Cellulosic,Uganda,NA,
BAP369,PI 646251,PHOTOPERIOD_SENSITIVE,Cellulosic,Uganda,NA,
BAP370,PI 646266,PHOTOPERIOD_SENSITIVE,Cellulosic,Uganda,NA,
BAP371,PI 651491,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP372,PI 651493,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP373,PI 651495,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP374,PI 651496,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP375,PI 651497,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP376,PI 653616,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP377,PI 653617,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP378,PI 655972,PHOTOPERIOD_INSENSITIVE,Cellulosic,NA,NA,
BAP379,PI 655978,PHOTOPERIOD_INSENSITIVE,GRAIN,NA,NA,
BAP380,PI 655981,PHOTOPERIOD_INSENSITIVE,Cellulosic,Mali,NA,
BAP381,PI 655983,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP382,PI 656015,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP383,PI 656026,PHOTOPERIOD_INSENSITIVE,GRAIN,NA,NA,
BAP384,PI 656035,PHOTOPERIOD_INSENSITIVE,Cellulosic,NA,NA,
BAP385,PI 656065,PHOTOPERIOD_INSENSITIVE,Cellulosic,NA,NA,
BAP386,PI 92270,PHOTOPERIOD_INSENSITIVE,Sweet,China,Mixed,
BAP387,ATLAS,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP388,LEOTI,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP389,RIO,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
BAP390,WRAY,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA,
